id,warehouse,brand,item,quantity,image,updated_at
1,破龟人,阿布,软饵,1,,2026-03-16 04:38:16
2,猎鳜,ewe,软饵,48,,2026-03-16 04:44:04
3,猎鳜,阿布,亮片,24,,2026-03-16 04:44:04
4,猎鳜,bkk,假饵,12,,2026-03-16 04:44:04
5,猎鳜,bkk,内德,6,,2026-03-16 04:44:04
6,猎鳜,蓝旗鱼,面罩,2,,2026-03-16 04:44:04
7,猎鳜,bkk,盒装鱼钩,28,,2026-03-16 04:44:04
8,猎鳜,蓝旗鱼,虾,3,,2026-03-16 04:44:04
9,猎鳜,bkk,小包钩,42,,2026-03-16 04:44:04
10,猎鳜,bkk,帆布包,1,,2026-03-16 04:44:04
11,猎鳜,bkk,9050铅头钩,13,,2026-03-16 04:44:04
12,猎鳜,蓝旗鱼,王道,5,,2026-03-16 04:44:04
13,猎鳜,阿布,帽子,5,,2026-03-16 04:44:04
14,猎鳜,贝库曼,pe线,2,,2026-03-16 04:44:04
15,猎鳜,bkk,子线付,21,,2026-03-16 04:44:04
16,猎鳜,名魔,pe线,2,,2026-03-16 04:44:04
17,猎鳜,bkk,T恤,2,,2026-03-16 04:44:04
18,猎鳜,蓝旗鱼,vib,4,,2026-03-16 04:44:04
19,猎鳜,蓝旗鱼,束杆带,2,,2026-03-16 04:44:04
20,猎鳜,bkk,主线付,4,,2026-03-16 04:44:04
21,猎鳜,蓝旗鱼,米诺,5,,2026-03-16 04:44:04
22,猎鳜,bkk,8003钩,4,,2026-03-16 04:44:04
23,猎鳜,达瓦,口罩,1,,2026-03-16 04:44:04
24,猎鳜,ewe,银刀,4,,2026-03-16 04:44:04
25,猎鳜,蓝旗鱼,控鱼器,1,,2026-03-16 04:44:04
26,猎鳜,bkk,毛巾,6,,2026-03-16 04:44:04
27,猎鳜,bkk,鬼飞2代,2,,2026-03-16 04:44:04
28,猎鳜,bkk,银刀,2,,2026-03-16 04:44:04
29,猎鳜,霖胜,美夏t尾,1,,2026-03-16 04:44:04
30,猎鳜,蓝旗鱼,毒眼,2,,2026-03-16 04:44:04
31,猎鳜,达瓦,挂件,3,,2026-03-16 04:44:04
32,猎鳜,蓝旗鱼,邪道铁板,1,,2026-03-16 04:44:04
33,猎鳜,达瓦,硬饵,2,,2026-03-16 04:44:04
34,猎鳜,bkk,长袖T恤,2,,2026-03-16 04:44:04
35,猎鳜,达瓦,毛巾,4,,2026-03-16 04:44:04
36,猎鳜,bkk,钓鱼帽,5,,2026-03-16 04:44:04
37,猎鳜,绫罗,vib,3,,2026-03-16 04:44:04
38,猎鳜,bkk,鸦语钢弹,1,,2026-03-16 04:44:04
39,猎鳜,达瓦,手缠带,1,,2026-03-16 04:44:04
40,猎鳜,bkk,黄果酸,2,,2026-03-16 04:44:04
41,猎鳜,蓝旗鱼,翻肚鱼,2,,2026-03-16 04:44:04
42,猎鳜,蓝旗鱼,帽子,1,,2026-03-16 04:44:04
43,猎鳜,NS,尼龙线,1,,2026-03-16 04:44:04
44,猎鳜,蓝旗鱼,濒死鳑鲏,1,,2026-03-16 04:44:04
45,猎鳜,NS,T恤,1,,2026-03-16 04:44:04
46,猎鳜,NS,pe线,1,,2026-03-16 04:44:04
47,猎鳜,bkk,面罩,1,,2026-03-16 04:44:04
48,猎鳜,达瓦,小包,1,,2026-03-16 04:44:04
49,猎鳜,蓝旗鱼,弹道鳑鲏,1,,2026-03-16 04:44:04
50,猎鳜,大河之路,铅笔,1,,2026-03-16 04:44:04
51,猎鳜,钓世佳,ewe闪亮片,1,,2026-03-16 04:44:04
52,猎鳜,钓世佳,软饵,1,,2026-03-16 04:44:04
53,猎鳜,bkk,战锤,2,,2026-03-16 04:44:04
54,猎鳜,本塑,隔板,2,,2026-03-16 04:44:04
